region,sex,percent
Africa,Female,1.6
Eastern Mediterranean,Male,3.1
Eastern Mediterranean,Female,4.3
Africa,Female,10.2
Eastern Mediterranean,Male,11.2
Africa,Male,12.5
Eastern Mediterranean,Male,13.4
Africa,Male,13.5
Africa,Female,18.5
Western Pacific,Female,19.9
Africa,Male,20.6
Western Pacific,Female,22.3
Europe,Male,22.5
Western Pacific,Male,22.9
South-East Asia,Male,24.8
Africa,Female,26.3
Africa,Female,26.3
Africa,Female,26.5
Africa,Male,28.3
Africa,Female,28.9
Western Pacific,Female,28.9
Western Pacific,Female,31.5
Americas,Female,31.8
Western Pacific,Female,32.9
Western Pacific,Female,35.1
Americas,Female,38.5
Americas,Female,40.5
Africa,Male,42.1
Western Pacific,Male,44.4
Europe,Female,46.4
Americas,Female,48.3
Americas,Female,48.3
Africa,Male,50.3
Americas,Female,52.7
Western Pacific,Male,54.9
Africa,Male,58.1
Europe,Male,59.1
Europe,Female,60.9
Europe,Female,61.9
Americas,Male,62.4
Americas,Female,62.4
Europe,Female,63.3
Europe,Male,65.7
Western Pacific,Male,67.4
Americas,Male,67.8
Europe,Male,71.3
Europe,Male,72.9
Europe,Male,73.8
Americas,Female,73.9
Americas,Male,75.2
Europe,Female,77.8
Europe,Female,80.4
Europe,Female,85.1
Europe,Male,85.4
Europe,Male,
Europe,Female,15
Eastern Mediterranean,Male,16
Western Pacific,Female,34
Western Pacific,Male,51
Africa,Male,52
Americas,Male,70
Europe,Female,71
Europe,Male,71
Eastern Mediterranean,Female,1.9
Africa,Female,2.2
Eastern Mediterranean,Female,2.8
Eastern Mediterranean,Female,3.4
South-East Asia,Male,3.5
South-East Asia,Female,3.8
South-East Asia,Female,3.9
Eastern Mediterranean,Male,5.4
Africa,Female,6.1
Africa,Female,7.1
Eastern Mediterranean,Male,7.5
Eastern Mediterranean,Male,8.5
Africa,Female,13.3
South-East Asia,Male,15.3
Western Pacific,Female,17.9
Western Pacific,Female,19.1
Western Pacific,Female,20.8
South-East Asia,Male,27.2
Africa,Female,28.3
Western Pacific,Female,30.9
Western Pacific,Female,33.1
Africa,Female,33.2
Europe,Female,41.5
Western Pacific,Male,44.2
Western Pacific,Male,45.7
Americas,Female,46.8
Africa,Male,47.3
Western Pacific,Male,48.5
Americas,Female,49.2
Africa,Male,53.3
Africa,Male,55.3
Americas,Male,56.7
Americas,Female,59.4
Western Pacific,Male,59.5
Europe,Female,61.9
Europe,Female,62.2
Europe,Female,62.7
Europe,Male,62.9
Americas,Male,62.9
Americas,Male,68.9
Americas,Male,70.1
Americas,Male,70.2
Americas,Male,71.7
Americas,Male,71.7
Europe,Male,74.2
Western Pacific,Female,74.5
Western Pacific,Female,80.1
Europe,Male,81.4
Western Pacific,Male,84.8
Europe,Male,91.7
Europe,Female,93.3
Europe,Female,
Europe,Female,
Africa,Female,5
Europe,Female,15
Americas,Female,42
Africa,Female,1.5
Eastern Mediterranean,Female,2.5
Eastern Mediterranean,Female,2.7
Eastern Mediterranean,Female,3.2
South-East Asia,Female,3.6
Eastern Mediterranean,Female,4.6
Eastern Mediterranean,Male,4.9
Eastern Mediterranean,Male,6.3
Africa,Female,6.6
Western Pacific,Female,6.7
Eastern Mediterranean,Male,7.2
Eastern Mediterranean,Male,8.3
South-East Asia,Male,11.4
Africa,Female,12.4
South-East Asia,Male,12.4
Western Pacific,Female,14.5
Africa,Female,16.3
Africa,Female,19.8
Africa,Female,28.7
Western Pacific,Female,29.1
Western Pacific,Female,33.5
Africa,Female,33.8
Western Pacific,Female,34.1
Africa,Female,34.8
Americas,Female,40.4
Americas,Female,41.3
Africa,Male,44.6
Americas,Male,45.4
South-East Asia,Male,45.4
Europe,Female,45.6
Europe,Female,46.3
Western Pacific,Male,46.6
Americas,Female,48.5
Africa,Male,49.2
Europe,Male,49.4
Europe,Male,49.4
Africa,Male,52.2
Africa,Male,52.5
Africa,Male,54.6
Africa,Male,55.5
Africa,Male,56.3
Africa,Male,56.3
Africa,Female,57.3
Americas,Male,60.7
Western Pacific,Female,61.9
Americas,Male,62.6
Africa,Male,68.6
Americas,Male,69.3
Americas,Male,72.7
Europe,Male,73.7
Europe,Male,75.1
Europe,Female,78.8
Europe,Male,92.5
Europe,Female,92.9
Europe,Male,92.9
Europe,Male,96.5
Western Pacific,Male,
Western Pacific,Female,
Africa,Male,3
South-East Asia,Male,11
Africa,Female,30
Europe,Male,60
Americas,Male,62
Europe,Female,62
Americas,Female,63
Americas,Male,70
Europe,Female,85
Europe,Male,85
South-East Asia,Female,0.2
Eastern Mediterranean,Female,2.8
Eastern Mediterranean,Female,2.9
Eastern Mediterranean,Female,3.4
Eastern Mediterranean,Female,3.4
South-East Asia,Female,4.2
Europe,Female,4.8
South-East Asia,Female,4.8
Eastern Mediterranean,Male,5.3
Eastern Mediterranean,Male,7.1
Eastern Mediterranean,Male,7.5
Africa,Male,8.5
South-East Asia,Male,12.1
Eastern Mediterranean,Male,12.7
Eastern Mediterranean,Male,14.3
Africa,Male,18.9
Western Pacific,Female,19.4
Africa,Male,21.3
Africa,Female,23.6
Africa,Female,27.4
Africa,Female,27.4
Europe,Female,27.6
Africa,Female,29.8
Europe,Female,29.9
Africa,Male,30.9
Africa,Female,31.9
Africa,Female,32.1
Africa,Female,34.5
Western Pacific,Female,34.5
Americas,Female,35.8
Africa,Female,39.4
Western Pacific,Male,41.4
Africa,Male,41.6
Western Pacific,Female,42.7
Western Pacific,Male,42.9
Africa,Male,43.9
Americas,Female,48.4
Americas,Female,49.2
Africa,Male,49.2
Western Pacific,Male,50.3
Europe,Female,50.3
Western Pacific,Male,55.3
Americas,Male,55.5
Europe,Female,58.5
Americas,Male,60.1
Americas,Male,62.1
Americas,Male,66.8
Americas,Male,67.6
Europe,Male,68.9
Europe,Female,70.3
Europe,Male,73.4
Europe,Male,73.4
Europe,Male,73.4
Europe,Male,74.1
Western Pacific,Male,76.4
Europe,Female,77.3
Europe,Male,92.1
Africa,Female,5
Africa,Female,14
South-East Asia,Male,14
Africa,Male,42
Africa,Male,48
Africa,Male,49
Americas,Male,59
Europe,Female,77
Europe,Female,81
Europe,Male,87
Europe,Male,89
Africa,Female,1.6
Eastern Mediterranean,Female,1.6
Eastern Mediterranean,Female,2.4
South-East Asia,Female,3.1
Eastern Mediterranean,Female,3.4
Eastern Mediterranean,Female,3.6
Eastern Mediterranean,Female,4.3
Europe,Female,5.6
Eastern Mediterranean,Female,7.1
Africa,Female,7.4
Eastern Mediterranean,Female,7.4
Eastern Mediterranean,Female,7.8
Eastern Mediterranean,Male,8.6
South-East Asia,Female,9.9
Europe,Male,13.9
Western Pacific,Female,14.7
Africa,Female,14.9
South-East Asia,Female,14.9
Africa,Male,16.1
Western Pacific,Male,18.5
Africa,Female,18.7
Africa,Female,28.3
Africa,Female,30.3
Americas,Female,31.5
Africa,Male,32.3
Africa,Female,32.8
Western Pacific,Male,34.1
Americas,Female,35.4
Western Pacific,Female,36.7
Americas,Female,37.4
Europe,Female,38.9
Americas,Female,41.4
Americas,Female,43.4
Africa,Male,44.6
Americas,Female,46.3
Africa,Male,48.7
Africa,Male,49.4
Europe,Female,54.8
Western Pacific,Male,55.4
Europe,Male,56.2
Africa,Male,56.4
Europe,Female,59.5
Americas,Male,59.9
Europe,Female,60.7
Europe,Female,62.4
Europe,Female,63.3
Europe,Female,64.1
Americas,Male,66.9
Western Pacific,Male,67.1
Americas,Male,67.5
Europe,Male,68.7
Europe,Male,69.1
Americas,Male,69.9
Europe,Male,70.7
Europe,Male,72.8
Europe,Male,73.1
Europe,Male,73.5
Europe,Male,73.8
Europe,Male,74.8
Americas,Male,74.9
Europe,Female,78.5
Europe,Female,83.6
Europe,Male,93.1
Africa,Female,11
Americas,Female,12
Americas,Female,37
Europe,Female,44
Americas,Female,44
Americas,Female,52
Americas,Male,54
Europe,Male,84
Eastern Mediterranean,Female,2.2
South-East Asia,Female,4.8
Eastern Mediterranean,Male,7.5
Eastern Mediterranean,Male,8.4
Eastern Mediterranean,Male,8.6
Africa,Female,9.7
Africa,Male,9.8
Africa,Female,10.6
Eastern Mediterranean,Male,10.6
South-East Asia,Female,12.1
Africa,Female,15.4
Africa,Female,16.8
Africa,Male,17.3
Europe,Female,18.9
Africa,Male,26.8
Western Pacific,Female,28.6
Europe,Female,30.6
South-East Asia,Male,30.8
Africa,Male,33.1
Americas,Female,34.2
Africa,Male,35.6
Americas,Female,35.9
Africa,Male,41.3
Americas,Female,43.7
Americas,Female,43.8
Americas,Female,43.8
Western Pacific,Male,48.5
Africa,Male,50.7
Americas,Male,53.9
Africa,Male,55.2
Western Pacific,Male,55.8
Western Pacific,Male,55.8
Western Pacific,Male,56.5
Western Pacific,Male,58.4
Europe,Female,58.6
Americas,Male,59.1
Europe,Female,60.3
Americas,Female,60.4
Europe,Female,60.6
Europe,Male,61.3
Europe,Female,61.6
Europe,Female,62.3
Americas,Male,70.3
Europe,Male,71.7
Europe,Male,72.2
Americas,Male,73.1
Americas,Male,80.3
Europe,Male,82.2
Europe,Male,84.4
Europe,Female,86.6
Europe,Male,91.8
Europe,Male,92.3
Europe,Male,
Africa,Male,6
Europe,Female,46
Europe,Male,65
Europe,Female,74
Europe,Male,81
Western Pacific,Male,88
Europe,Male,95
